               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037422,            0.018415,            0.090567,           0.0087344,             0.99911,            0.014837,            0.013622,           0.0047401,           0.0025617,            0.036029,             0.07001,           0.0033322,           0.0033322
                   1,            0.018541,            0.010622,            0.085819,           0.0085107,             0.99773,            0.013373,            0.012656,             0.00386,           0.0022953,            0.035752,            0.039879,           0.0065335,           0.0065335
                   2,            0.015859,           0.0090462,             0.08506,           0.0092833,              0.9989,            0.015166,            0.014269,           0.0039872,           0.0025753,            0.035681,           0.0096145,           0.0096029,           0.0096029
                   3,             0.01284,           0.0079465,            0.085075,           0.0094886,             0.99911,            0.017783,             0.01662,           0.0033342,           0.0019558,            0.035406,            0.009406,            0.009406,            0.009406
                   4,            0.010505,           0.0068837,            0.084608,           0.0095651,             0.99944,            0.019773,            0.018279,           0.0029323,           0.0020669,            0.035092,            0.009406,            0.009406,            0.009406
                   5,           0.0092179,            0.006279,            0.084263,           0.0093213,             0.99866,            0.022515,            0.021525,           0.0030174,           0.0021797,            0.034779,            0.009208,            0.009208,            0.009208
                   6,           0.0082321,           0.0057319,            0.083073,           0.0097794,             0.99889,            0.023424,             0.02187,           0.0031641,           0.0019205,            0.034631,             0.00901,             0.00901,             0.00901
                   7,           0.0077145,            0.005393,            0.083352,           0.0097129,             0.99944,             0.02393,            0.023088,           0.0028266,            0.002262,            0.034552,            0.008812,            0.008812,            0.008812
                   8,           0.0072291,           0.0052137,             0.08296,            0.009828,             0.99944,            0.025525,            0.024859,            0.002542,           0.0022526,            0.034317,            0.008614,            0.008614,            0.008614
                   9,           0.0068925,           0.0049711,            0.083153,           0.0097168,             0.99944,            0.026848,            0.026088,           0.0024007,            0.001783,            0.034044,            0.008416,            0.008416,            0.008416
                  10,              0.0065,           0.0048012,            0.082633,           0.0097905,             0.99922,            0.026636,            0.025954,           0.0026957,           0.0018932,            0.034006,            0.008218,            0.008218,            0.008218
                  11,           0.0063449,           0.0047155,            0.082367,           0.0098422,             0.99944,            0.027552,            0.026668,           0.0027072,           0.0017677,            0.033889,             0.00802,             0.00802,             0.00802
                  12,           0.0062054,           0.0045623,            0.083238,           0.0097261,             0.99944,            0.028156,            0.027735,           0.0021857,           0.0018733,            0.033844,            0.007822,            0.007822,            0.007822
                  13,           0.0058595,           0.0045255,            0.082381,           0.0097554,             0.99922,            0.028583,            0.027485,           0.0024295,           0.0016861,            0.033807,            0.007624,            0.007624,            0.007624
                  14,           0.0056969,           0.0043752,            0.082023,           0.0098511,             0.99944,            0.029047,            0.028586,           0.0020838,           0.0014966,            0.033753,            0.007426,            0.007426,            0.007426
                  15,           0.0055592,           0.0043137,            0.082266,           0.0098633,             0.99944,            0.029077,            0.028462,           0.0024277,           0.0019382,            0.033662,            0.007228,            0.007228,            0.007228
                  16,           0.0053443,           0.0041223,             0.08227,           0.0098508,             0.99944,            0.029101,            0.028638,           0.0023119,           0.0018997,            0.033657,             0.00703,             0.00703,             0.00703
                  17,           0.0052431,           0.0041432,            0.082053,           0.0098272,             0.99944,            0.030864,            0.030518,           0.0020224,           0.0017584,            0.033498,            0.006832,            0.006832,            0.006832
                  18,              0.0051,           0.0040734,            0.081908,           0.0098458,             0.99944,            0.030803,            0.030281,           0.0021346,           0.0019233,            0.033447,            0.006634,            0.006634,            0.006634
                  19,           0.0049293,           0.0039898,            0.081297,           0.0098487,             0.99922,            0.031032,            0.030816,           0.0018239,           0.0019537,            0.033393,            0.006436,            0.006436,            0.006436
                  20,           0.0047687,           0.0038871,            0.081692,           0.0098102,             0.99922,            0.031422,             0.03115,           0.0020277,           0.0020242,            0.033343,            0.006238,            0.006238,            0.006238
                  21,           0.0046471,           0.0038756,            0.081484,           0.0097809,             0.99922,            0.031418,            0.030942,           0.0021118,           0.0020319,            0.033362,             0.00604,             0.00604,             0.00604
                  22,            0.004591,           0.0037928,            0.080644,           0.0098268,             0.99944,            0.032435,            0.031889,           0.0021127,           0.0017886,            0.033289,            0.005842,            0.005842,            0.005842
                  23,           0.0044939,           0.0037941,            0.081865,           0.0098754,             0.99944,            0.032298,            0.031967,           0.0020576,           0.0017306,            0.033223,            0.005644,            0.005644,            0.005644
                  24,            0.004373,           0.0037051,            0.081414,           0.0098817,             0.99944,            0.033454,             0.03312,           0.0018465,           0.0017611,            0.033172,            0.005446,            0.005446,            0.005446
                  25,           0.0041997,           0.0035879,            0.080419,           0.0098875,             0.99922,            0.032932,            0.032695,           0.0019007,           0.0018675,            0.033256,            0.005248,            0.005248,            0.005248
                  26,           0.0041406,           0.0036368,            0.081148,           0.0098072,             0.99922,            0.033496,            0.033169,           0.0019856,           0.0016948,            0.033098,             0.00505,             0.00505,             0.00505
                  27,           0.0040724,            0.003517,            0.080953,           0.0098321,             0.99922,            0.035176,            0.034871,           0.0018654,           0.0017082,             0.03301,            0.004852,            0.004852,            0.004852
                  28,           0.0039629,           0.0034693,             0.08083,           0.0099039,             0.99922,            0.037007,            0.036822,           0.0017671,           0.0017912,            0.032918,            0.004654,            0.004654,            0.004654
                  29,            0.003908,           0.0034011,            0.080943,           0.0098671,             0.99944,            0.039276,            0.039025,           0.0018684,           0.0016321,            0.032851,            0.004456,            0.004456,            0.004456
                  30,           0.0037595,           0.0033913,            0.080683,           0.0099198,             0.99944,            0.042623,            0.042337,           0.0018098,           0.0018055,            0.032688,            0.004258,            0.004258,            0.004258
                  31,           0.0037448,           0.0033455,            0.080355,            0.013772,             0.93686,            0.046424,            0.046182,           0.0017707,           0.0017158,             0.03255,             0.00406,             0.00406,             0.00406
                  32,           0.0035514,           0.0032379,            0.079876,             0.25995,             0.37791,            0.046137,            0.045872,            0.001754,            0.001585,            0.032477,            0.003862,            0.003862,            0.003862
                  33,           0.0035508,           0.0032448,            0.080936,             0.47124,             0.25473,            0.046644,            0.046369,           0.0016801,           0.0017379,            0.032407,            0.003664,            0.003664,            0.003664
                  34,           0.0033909,           0.0031969,            0.079614,             0.67242,             0.12237,             0.04756,             0.04723,           0.0018658,           0.0019627,            0.032267,            0.003466,            0.003466,            0.003466
                  35,           0.0033622,           0.0031872,             0.07961,             0.65302,             0.11997,            0.049169,            0.048998,           0.0017311,           0.0017982,            0.032178,            0.003268,            0.003268,            0.003268
                  36,             0.00327,           0.0031196,            0.079232,             0.65075,              0.1235,            0.049641,            0.049423,            0.001774,           0.0019009,            0.032079,             0.00307,             0.00307,             0.00307
                  37,           0.0032363,           0.0030842,             0.07922,             0.66874,             0.11089,            0.052235,             0.05203,           0.0017481,           0.0017849,            0.031947,            0.002872,            0.002872,            0.002872
                  38,           0.0031712,           0.0029902,            0.079128,             0.68622,            0.091614,            0.052507,            0.052316,           0.0017915,           0.0017189,            0.031858,            0.002674,            0.002674,            0.002674
                  39,           0.0030096,           0.0029449,            0.078952,             0.66545,             0.10154,            0.054437,            0.054171,           0.0018056,           0.0016988,            0.031748,            0.002476,            0.002476,            0.002476
                  40,           0.0029887,           0.0029254,            0.079183,             0.69399,             0.10143,            0.055081,            0.054817,           0.0017272,            0.001613,            0.031658,            0.002278,            0.002278,            0.002278
                  41,           0.0029384,            0.002888,            0.079471,             0.65832,             0.11435,            0.056171,            0.055941,           0.0016732,           0.0017719,            0.031567,             0.00208,             0.00208,             0.00208
                  42,           0.0028292,           0.0028395,            0.079016,             0.64227,             0.12657,            0.058102,            0.057827,           0.0017072,           0.0016955,            0.031474,            0.001882,            0.001882,            0.001882
                  43,           0.0026902,           0.0027947,            0.078374,             0.63005,             0.13071,            0.060274,            0.059995,           0.0018281,           0.0017247,            0.031409,            0.001684,            0.001684,            0.001684
                  44,           0.0026239,           0.0026988,            0.078991,             0.62641,             0.13617,            0.062084,            0.061773,           0.0018258,           0.0019486,            0.031291,            0.001486,            0.001486,            0.001486
                  45,           0.0024944,           0.0026974,            0.078666,             0.60565,             0.14203,            0.062941,            0.062713,           0.0017111,           0.0019541,            0.031192,            0.001288,            0.001288,            0.001288
                  46,           0.0023974,           0.0026354,            0.078924,             0.59569,             0.15154,            0.064629,            0.064396,           0.0017236,           0.0019478,            0.031104,             0.00109,             0.00109,             0.00109
                  47,           0.0022528,           0.0025154,             0.07776,             0.59723,             0.15391,            0.065829,            0.065498,           0.0018144,           0.0018999,             0.03103,            0.000892,            0.000892,            0.000892
                  48,           0.0021618,            0.002522,            0.078566,             0.57921,             0.16389,            0.067372,             0.06716,           0.0017544,           0.0017828,            0.030969,            0.000694,            0.000694,            0.000694
                  49,           0.0019823,           0.0024287,            0.076898,             0.56854,             0.16263,             0.06722,            0.066995,           0.0017591,           0.0018509,            0.030911,            0.000496,            0.000496,            0.000496
